Instance,Income
111994,19473.3880926385
111995,320897.37000363
111996,29098.0385699755
111997,131621.811769706
111998,11160.94354968
111999,86742.6056451528
112000,74710.42473119
112001,245026.334683863
112002,16365.1953117275
112003,119894.197290606
112004,-6108.91852863416
112005,130407.470145941
112006,31691.8514286831
112007,105889.95546278
112008,247966.209892795
112009,58605.8883051436
112010,20720.2940086073
112011,13594.3447339841
112012,6996.25690133181
112013,5761.00264711935
112014,140082.817220143
112015,38019.2121186009
112016,81210.7395558808
112017,13924.3664257015
112018,149907.126504573
112019,34194.8431264827
112020,33866.2407323222
112021,15896.0617283853
112022,95944.366728989
112023,59303.9537519856
112024,22238.0438307155
112025,81295.7636933408
112026,112355.127916629
112027,61792.7128284874
112028,32564.5519819335
112029,38444.4730248758
112030,233658.140113434
112031,211533.233795008
112032,194674.219381035
112033,82816.3634072967
112034,282657.371044746
112035,95033.9337691565
112036,154163.087834827
112037,113633.775967232
112038,149765.151219559
112039,23226.1387801214
112040,76010.5615669931
112041,66773.801537306
112042,37800.101446358
112043,65413.9415991434
112044,24836.6384786847
112045,-4446.28629762595
112046,213800.585962512
112047,32845.1807099277
112048,10308.2030760353
112049,157340.633194669
112050,57112.2373617235
112051,74295.4412079293
112052,101611.896588587
112053,228787.004511494
112054,55799.8789204709
112055,31646.1223224302
112056,78566.4240802984
112057,10472.4872727438
112058,13944.1257765519
112059,34905.5909446578
112060,311636.326441881
112061,173311.476757353
112062,294259.392216945
112063,59388.7976483589
112064,12650.5842542623
112065,41845.6237115829
112066,-1438.29811237061
112067,105352.444281409
112068,78356.1925465455
112069,198101.41093254
112070,570020.183944362
112071,29902.083940276
112072,52529.4784901999
112073,36082.0301947603
112074,3213.81797457526
112075,26983.6640395842
112076,98863.7835589361
112077,687768.325510142
112078,-11966.8293826219
112079,131223.888452841
112080,308530.910768651
112081,750441.363284618
112082,32040.4191427905
112083,36723.4111147007
112084,4984.4162379801
112085,36330.5812093279
112086,24718.3593562967
112087,58559.595344309
112088,123200.764977384
112089,55602.1226820692
112090,175871.718688218
112091,31018.0269836704
112092,41696.9752695996
112093,74501.3729671626
112094,36552.2260574295
112095,42068.8592999217
112096,101969.357917333
112097,9676.45335083294
112098,11400.6169227206
112099,18534.8036136394
112100,117212.399299285
112101,434922.120948272
112102,23931.7920994006
112103,141265.606914181
112104,58952.719018491
112105,21188.268350397
112106,99578.1612217855
112107,93615.271822703
112108,105692.435130922
112109,14315.8631236036
112110,120926.294712124
112111,17573.8725536626
112112,73786.090992159
112113,94695.7886507663
